POA_CODE16,Total Households,Population
3515,532,1910
3516,185,662
3517,338,1401
3518,304,1280
3520,38,173
3521,178,643
3522,87,316
3523,984,3542
3525,338,1269
3527,197,768
3529,27,112
3530,31,120
3531,49,170
3533,190,762
3537,276,1001
3540,73,279
3542,46,147
3544,62,242
3546,100,384
3549,802,3545
3550,9892,40325
3551,8161,28929
3555,5074,19257
3556,3263,12773
3557,211,759
3558,234,902
3559,161,546
3561,1186,4246
3562,75,268
3563,226,801
3564,4120,15777
3565,29,107
3566,142,544
3567,180,634
3568,789,2833
3570,221,739
3571,82,308
3572,41,151
3573,77,319
3575,206,802
3576,24,75
3579,1365,5263
3580,284,972
3581,44,166
3583,45,196
3584,283,1108
3585,2702,11151
3586,193,822
3588,111,348
3589,87,364
3590,91,329
3591,45,154
3594,130,546
3595,144,670
3596,17,96
3597,104,407
3599,28,142
3607,36,128
3608,648,2400
3610,372,1675
3612,442,1689
3614,249,855
3616,1375,5154
3617,43,154
3618,187,653
3620,2154,7997
3621,600,2297
3622,126,450
3623,258,886
3624,158,553
3629,2291,8913
3630,7647,31212
3631,3087,11243
3633,163,599
3634,485,1750
3635,147,520
3636,1401,5125
3637,165,584
3638,535,2010
3639,151,518
3640,266,985
3641,323,1227
3644,2342,8975
3646,162,552
3647,0,71
3649,115,424
3658,1681,6081
3659,208,714
3660,1891,7468
3662,223,1310
3663,51,186
3664,282,1027
3665,106,358
3666,1246,4552
3669,350,1268
3670,163,559
3672,2699,10072
3673,478,1662
3675,516,1778
3677,4610,17897
3678,1770,6177
3682,161,603
3683,479,1714
3685,744,2659
3687,295,1054
3688,340,1187
3690,8797,32867
3691,2550,9600
3694,0,199
3695,137,450
3697,158,541
3698,234,936
3699,225,4169
3700,349,1263
3701,296,1034
3704,5,16
3705,69,250
3707,446,1751
3708,17,56
3709,81,272
3711,127,456
3712,89,339
3713,228,987
3714,911,3342
3715,79,288
3717,715,2578
3718,25,66
3719,110,341
3720,148,541
3722,1256,5055
3723,678,5479
3725,173,610
3726,110,395
3727,79,290
3728,172,605
3730,2260,8491
3732,166,583
3733,56,213
3735,175,578
3737,1145,4136
3738,61,210
3739,56,217
3740,302,1050
3741,766,5408
3744,120,439
3746,105,355
3747,1191,4471
3749,513,1838
3750,2466,9053
3751,69,270
3752,6477,23874
3753,627,2320
3754,10372,37325
3755,79,248
3756,3143,11755
3757,2345,8771
3758,596,2149
3759,289,1028
3760,106,364
3761,318,1195
3762,34,127
3763,407,1485
3764,2366,9043
3765,1810,6595
3766,345,1184
3767,362,1214
3770,902,3133
3775,1061,3853
3777,2871,10623
3778,50,207
3779,105,452
3781,1198,4423
3782,2162,7523
3783,637,2327
3785,16,68
3786,421,1486
3787,299,1010
3788,494,1708
3789,82,260
3791,412,1426
3792,294,1018
3793,1013,3474
3795,332,1182
3796,2661,9467
