Year,Local Government Area,Postcode,Total Incidents
2011,Alpine,3691,5
2011,Alpine,3697,4
2011,Alpine,3698,3
2011,Alpine,3699,13
2011,Alpine,3737,153
2011,Alpine,3738,3
2011,Alpine,3740,13
2011,Alpine,3741,76
2011,Alpine,3744,5
2011,Alpine,3898,3
2011,Ararat,3351,34
2011,Ararat,3374,2
2011,Ararat,3375,5
2011,Ararat,3377,727
2011,Ararat,3378,3
2011,Ararat,3379,24
2011,Ararat,3381,4
2011,Ararat,3469,3
2011,Ballarat,3350,5325
2011,Ballarat,3351,2
2011,Ballarat,3352,233
2011,Ballarat,3355,1431
2011,Ballarat,3356,1127
2011,Ballarat,3357,52
2011,Ballarat,3363,3
2011,Ballarat,3364,6
2011,Banyule,3079,568
2011,Banyule,3081,1145
2011,Banyule,3083,295
2011,Banyule,3084,1520
2011,Banyule,3085,367
2011,Banyule,3087,387
2011,Banyule,3088,972
2011,Banyule,3093,105
2011,Banyule,3094,212
2011,Banyule,3095,32
2011,Bass Coast,3922,435
2011,Bass Coast,3923,6
2011,Bass Coast,3925,138
2011,Bass Coast,3945,10
2011,Bass Coast,3979,4
2011,Bass Coast,3984,112
2011,Bass Coast,3990,4
2011,Bass Coast,3991,16
2011,Bass Coast,3992,28
2011,Bass Coast,3995,671
2011,Bass Coast,3996,177
2011,Baw Baw,3816,92
2011,Baw Baw,3818,469
2011,Baw Baw,3820,712
2011,Baw Baw,3821,29
2011,Baw Baw,3822,19
2011,Baw Baw,3823,72
2011,Baw Baw,3824,174
2011,Baw Baw,3825,64
2011,Baw Baw,3831,28
2011,Baw Baw,3832,8
2011,Baw Baw,3833,45
2011,Baw Baw,3835,15
2011,Baw Baw,3871,3
2011,Baw Baw,3953,2
2011,Bayside,3186,806
2011,Bayside,3187,387
2011,Bayside,3188,701
2011,Bayside,3190,255
2011,Bayside,3191,325
2011,Bayside,3192,146
2011,Bayside,3193,384
2011,Benalla,3669,1
2011,Benalla,3670,16
2011,Benalla,3672,690
2011,Benalla,3673,42
2011,Benalla,3675,1
2011,Benalla,3725,6
2011,Benalla,3726,4
2011,Boroondara,3101,788
2011,Boroondara,3102,157
2011,Boroondara,3103,376
2011,Boroondara,3104,453
2011,Boroondara,3122,1204
2011,Boroondara,3123,439
2011,Boroondara,3124,837
2011,Boroondara,3126,218
2011,Boroondara,3127,216
2011,Boroondara,3146,323
2011,Boroondara,3147,254
2011,Brimbank,3012,42
2011,Brimbank,3020,4603
2011,Brimbank,3021,3479
2011,Brimbank,3022,385
2011,Brimbank,3023,1851
2011,Brimbank,3030,533
2011,Brimbank,3033,55
2011,Brimbank,3036,257
2011,Brimbank,3037,1025
2011,Brimbank,3038,1740
2011,Brimbank,3042,178
2011,Brimbank,3043,148
2011,Buloke,3480,99
2011,Buloke,3482,8
2011,Buloke,3483,21
2011,Buloke,3525,49
2011,Buloke,3527,24
2011,Buloke,3529,1
2011,Buloke,3530,1
2011,Buloke,3531,1
2011,Buloke,3533,17
2011,Campaspe,3551,4
2011,Campaspe,3559,20
2011,Campaspe,3561,141
2011,Campaspe,3562,6
2011,Campaspe,3563,13
2011,Campaspe,3564,1169
2011,Campaspe,3565,3
2011,Campaspe,3566,10
2011,Campaspe,3612,78
2011,Campaspe,3620,321
2011,Campaspe,3621,80
2011,Campaspe,3622,8
2011,Campaspe,3623,33
2011,Campaspe,3624,9
2011,Cardinia,3159,1
2011,Cardinia,3781,134
2011,Cardinia,3782,233
2011,Cardinia,3783,88
2011,Cardinia,3807,219
2011,Cardinia,3808,61
2011,Cardinia,3809,169
2011,Cardinia,3810,1965
2011,Cardinia,3812,56
2011,Cardinia,3813,29
2011,Cardinia,3814,46
2011,Cardinia,3815,91
2011,Cardinia,3816,2
2011,Cardinia,3978,12
2011,Cardinia,3981,170
2011,Cardinia,3984,68
2011,Cardinia,3987,2
2011,Casey,3156,21
2011,Casey,3177,690
2011,Casey,3802,890
2011,Casey,3803,637
2011,Casey,3804,188
2011,Casey,3805,2631
2011,Casey,3806,1296
2011,Casey,3807,19
2011,Casey,3912,108
2011,Casey,3975,407
2011,Casey,3976,795
2011,Casey,3977,3061
2011,Casey,3978,64
2011,Casey,3980,137
2011,Central Goldfields,3364,2
2011,Central Goldfields,3371,15
2011,Central Goldfields,3464,26
2011,Central Goldfields,3465,537
2011,Central Goldfields,3472,82
2011,Central Goldfields,3475,15
2011,Colac-Otway,3233,152
2011,Colac-Otway,3234,12
2011,Colac-Otway,3236,4
2011,Colac-Otway,3237,6
2011,Colac-Otway,3238,13
2011,Colac-Otway,3239,21
2011,Colac-Otway,3242,22
2011,Colac-Otway,3243,10
2011,Colac-Otway,3249,48
2011,Colac-Otway,3250,778
2011,Colac-Otway,3251,12
2011,Colac-Otway,3254,2
2011,Colac-Otway,3260,7
2011,Colac-Otway,3266,1
2011,Colac-Otway,3322,2
2011,Corangamite,3239,1
2011,Corangamite,3249,1
2011,Corangamite,3260,167
2011,Corangamite,3264,111
2011,Corangamite,3265,22
2011,Corangamite,3266,95
2011,Corangamite,3267,1
2011,Corangamite,3268,43
2011,Corangamite,3269,32
2011,Corangamite,3271,3
2011,Corangamite,3323,6
2011,Corangamite,3324,21
2011,Corangamite,3325,13
2011,Corangamite,3361,6
2011,Darebin,3070,1411
2011,Darebin,3071,890
2011,Darebin,3072,3593
2011,Darebin,3073,2840
2011,Darebin,3078,366
2011,Darebin,3083,315
2011,Darebin,3085,52
2011,Darebin,3086,116
2011,East Gippsland,3862,1
2011,East Gippsland,3864,11
2011,East Gippsland,3865,10
2011,East Gippsland,3875,1350
2011,East Gippsland,3878,17
2011,East Gippsland,3880,94
2011,East Gippsland,3882,17
2011,East Gippsland,3885,17
2011,East Gippsland,3886,10
2011,East Gippsland,3887,33
2011,East Gippsland,3888,213
2011,East Gippsland,3889,15
2011,East Gippsland,3890,22
2011,East Gippsland,3891,3
2011,East Gippsland,3892,64
2011,East Gippsland,3895,2
2011,East Gippsland,3896,10
2011,East Gippsland,3898,18
2011,East Gippsland,3900,2
2011,East Gippsland,3902,6
2011,East Gippsland,3903,14
2011,East Gippsland,3904,23
2011,East Gippsland,3909,547
2011,Frankston,3198,1320
2011,Frankston,3199,5368
2011,Frankston,3200,494
2011,Frankston,3201,1051
2011,Frankston,3910,640
2011,Frankston,3911,40
2011,Frankston,3977,332
2011,Gannawarra,3540,3
2011,Gannawarra,3542,3
2011,Gannawarra,3567,6
2011,Gannawarra,3568,81
2011,Gannawarra,3579,338
2011,Gannawarra,3580,9
2011,Gannawarra,3581,4
2011,Glen Eira,3145,220
2011,Glen Eira,3161,483
2011,Glen Eira,3162,482
2011,Glen Eira,3163,946
2011,Glen Eira,3165,661
2011,Glen Eira,3183,122
2011,Glen Eira,3185,558
2011,Glen Eira,3187,6
2011,Glen Eira,3204,924
2011,Glenelg,3285,18
2011,Glenelg,3292,19
2011,Glenelg,3302,1
2011,Glenelg,3303,6
2011,Glenelg,3304,138
2011,Glenelg,3305,943
2011,Glenelg,3309,2
2011,Glenelg,3310,12
2011,Glenelg,3311,82
2011,Glenelg,3312,14
2011,Golden Plains,3213,5
2011,Golden Plains,3218,3
2011,Golden Plains,3321,11
2011,Golden Plains,3328,11
2011,Golden Plains,3329,2
2011,Golden Plains,3330,14
2011,Golden Plains,3331,63
2011,Golden Plains,3332,7
2011,Golden Plains,3333,34
2011,Golden Plains,3342,2
2011,Golden Plains,3351,88
2011,Golden Plains,3352,45
2011,Golden Plains,3360,11
2011,Greater Bendigo,3444,16
2011,Greater Bendigo,3453,8
2011,Greater Bendigo,3515,21
2011,Greater Bendigo,3523,114
2011,Greater Bendigo,3550,2913
2011,Greater Bendigo,3551,363
2011,Greater Bendigo,3555,888
2011,Greater Bendigo,3556,651
2011,Greater Bendigo,3557,15
2011,Greater Bendigo,3558,41
2011,Greater Bendigo,3559,2
2011,Greater Bendigo,3570,17
2011,Greater Dandenong,3171,1355
2011,Greater Dandenong,3172,490
2011,Greater Dandenong,3173,911
2011,Greater Dandenong,3174,1878
2011,Greater Dandenong,3175,6358
2011,Greater Dandenong,3975,10
2011,Greater Geelong,3211,22
2011,Greater Geelong,3212,454
2011,Greater Geelong,3213,131
2011,Greater Geelong,3214,2300
2011,Greater Geelong,3215,1097
2011,Greater Geelong,3216,2029
2011,Greater Geelong,3217,48
2011,Greater Geelong,3218,788
2011,Greater Geelong,3219,1317
2011,Greater Geelong,3220,2753
2011,Greater Geelong,3221,7
2011,Greater Geelong,3222,245
2011,Greater Geelong,3223,272
2011,Greater Geelong,3224,428
2011,Greater Geelong,3225,14
2011,Greater Geelong,3226,438
2011,Greater Geelong,3227,147
2011,Greater Geelong,3340,4
2011,Greater Shepparton,3610,58
2011,Greater Shepparton,3614,20
2011,Greater Shepparton,3616,225
2011,Greater Shepparton,3617,7
2011,Greater Shepparton,3618,17
2011,Greater Shepparton,3620,2
2011,Greater Shepparton,3629,648
2011,Greater Shepparton,3630,3597
2011,Greater Shepparton,3631,378
2011,Greater Shepparton,3633,9
2011,Greater Shepparton,3634,31
2011,Greater Shepparton,3646,7
2011,Greater Shepparton,3669,2
2011,Greater Shepparton,3725,1
2011,Hepburn,3352,3
2011,Hepburn,3363,142
2011,Hepburn,3364,30
2011,Hepburn,3370,51
2011,Hepburn,3371,1
2011,Hepburn,3446,3
2011,Hepburn,3451,4
2011,Hepburn,3458,40
2011,Hepburn,3460,149
2011,Hepburn,3461,80
2011,Hindmarsh,3414,49
2011,Hindmarsh,3418,91
2011,Hindmarsh,3423,17
2011,Hindmarsh,3424,15
2011,Hobsons Bay,3012,146
2011,Hobsons Bay,3015,907
2011,Hobsons Bay,3016,891
2011,Hobsons Bay,3018,706
2011,Hobsons Bay,3025,801
2011,Hobsons Bay,3028,1292
2011,Horsham,3400,1149
2011,Horsham,3401,73
2011,Horsham,3409,9
2011,Hume,3036,5
2011,Hume,3043,966
2011,Hume,3045,301
2011,Hume,3047,2855
2011,Hume,3048,1042
2011,Hume,3049,374
2011,Hume,3059,351
2011,Hume,3060,48
2011,Hume,3061,917
2011,Hume,3062,162
2011,Hume,3063,19
2011,Hume,3064,2416
2011,Hume,3427,22
2011,Hume,3428,42
2011,Hume,3429,1492
2011,Indigo,3682,3
2011,Indigo,3683,62
2011,Indigo,3685,87
2011,Indigo,3687,30
2011,Indigo,3688,39
2011,Indigo,3691,28
2011,Indigo,3695,5
2011,Indigo,3747,87
2011,Indigo,3749,29
2011,Kingston,3167,114
2011,Kingston,3169,626
2011,Kingston,3172,286
2011,Kingston,3189,620
2011,Kingston,3190,268
2011,Kingston,3192,1309
2011,Kingston,3194,532
2011,Kingston,3195,1445
2011,Kingston,3196,920
2011,Kingston,3197,477
2011,Kingston,3202,112
2011,Knox,3152,1332
2011,Knox,3153,760
2011,Knox,3154,116
2011,Knox,3155,1055
2011,Knox,3156,1321
2011,Knox,3178,902
2011,Knox,3179,206
2011,Knox,3180,281
2011,Latrobe,3825,1562
2011,Latrobe,3840,2430
2011,Latrobe,3842,522
2011,Latrobe,3844,2178
2011,Latrobe,3854,17
2011,Latrobe,3856,11
2011,Latrobe,3857,1
2011,Latrobe,3869,44
2011,Latrobe,3870,20
2011,Loddon,3463,4
2011,Loddon,3472,4
2011,Loddon,3477,1
2011,Loddon,3516,23
2011,Loddon,3517,70
2011,Loddon,3518,99
2011,Loddon,3520,14
2011,Loddon,3525,3
2011,Loddon,3537,28
2011,Loddon,3551,29
2011,Loddon,3556,1
2011,Loddon,3567,2
2011,Loddon,3571,8
2011,Loddon,3572,5
2011,Loddon,3573,13
2011,Loddon,3575,24
2011,Loddon,3576,1
2011,Loddon,3579,2
2011,Macedon Ranges,3430,8
2011,Macedon Ranges,3431,107
2011,Macedon Ranges,3432,6
2011,Macedon Ranges,3433,2
2011,Macedon Ranges,3434,111
2011,Macedon Ranges,3435,58
2011,Macedon Ranges,3437,209
2011,Macedon Ranges,3438,36
2011,Macedon Ranges,3440,48
2011,Macedon Ranges,3441,23
2011,Macedon Ranges,3442,179
2011,Macedon Ranges,3444,342
2011,Macedon Ranges,3446,24
2011,Macedon Ranges,3458,7
2011,Macedon Ranges,3756,7
2011,Manningham,3105,312
2011,Manningham,3106,234
2011,Manningham,3107,284
2011,Manningham,3108,949
2011,Manningham,3109,600
2011,Manningham,3111,188
2011,Manningham,3113,129
2011,Manningham,3114,46
2011,Manningham,3115,57
2011,Manningham,3131,2
2011,Manningham,3134,3
2011,Mansfield,3715,4
2011,Mansfield,3720,28
2011,Mansfield,3722,160
2011,Mansfield,3723,57
2011,Maribyrnong,3011,2572
2011,Maribyrnong,3012,1402
2011,Maribyrnong,3013,782
2011,Maribyrnong,3019,943
2011,Maribyrnong,3032,1282
2011,Maroondah,3114,1
2011,Maroondah,3115,3
2011,Maroondah,3133,6
2011,Maroondah,3134,2301
2011,Maroondah,3135,628
2011,Maroondah,3136,1334
2011,Maroondah,3137,100
2011,Maroondah,3153,406
2011,Melbourne,3000,13862
2011,Melbourne,3002,747
2011,Melbourne,3003,593
2011,Melbourne,3004,405
2011,Melbourne,3005,56
2011,Melbourne,3006,2029
2011,Melbourne,3008,1218
2011,Melbourne,3010,66
2011,Melbourne,3031,1134
2011,Melbourne,3050,432
2011,Melbourne,3051,1200
2011,Melbourne,3052,464
2011,Melbourne,3053,1189
2011,Melbourne,3054,13
2011,Melbourne,3141,105
2011,Melbourne,3207,143
2011,Melton,3023,1401
2011,Melton,3024,21
2011,Melton,3029,30
2011,Melton,3037,879
2011,Melton,3335,231
2011,Melton,3337,2399
2011,Melton,3338,1023
2011,Melton,3340,1
2011,Melton,3427,80
2011,Mildura,3489,1
2011,Mildura,3490,45
2011,Mildura,3491,2
2011,Mildura,3494,33
2011,Mildura,3496,347
2011,Mildura,3498,208
2011,Mildura,3500,3563
2011,Mildura,3501,42
2011,Mildura,3505,220
2011,Mildura,3507,3
2011,Mildura,3509,5
2011,Mildura,3512,9
2011,Mitchell,3444,1
2011,Mitchell,3521,16
2011,Mitchell,3522,10
2011,Mitchell,3658,153
2011,Mitchell,3659,31
2011,Mitchell,3660,800
2011,Mitchell,3662,18
2011,Mitchell,3664,2
2011,Mitchell,3753,37
2011,Mitchell,3756,407
2011,Mitchell,3758,71
2011,Mitchell,3762,3
2011,Mitchell,3764,267
2011,Moira,3634,3
2011,Moira,3635,11
2011,Moira,3636,193
2011,Moira,3637,9
2011,Moira,3638,93
2011,Moira,3639,22
2011,Moira,3640,16
2011,Moira,3641,35
2011,Moira,3644,448
2011,Moira,3646,3
2011,Moira,3649,11
2011,Moira,3727,1
2011,Moira,3728,16
2011,Moira,3730,315
2011,Monash,3125,43
2011,Monash,3147,207
2011,Monash,3148,472
2011,Monash,3149,962
2011,Monash,3150,1729
2011,Monash,3166,1090
2011,Monash,3167,173
2011,Monash,3168,1080
2011,Monash,3170,647
2011,Monash,3800,72
2011,Moonee Valley,3031,809
2011,Moonee Valley,3032,1112
2011,Moonee Valley,3033,414
2011,Moonee Valley,3034,348
2011,Moonee Valley,3039,974
2011,Moonee Valley,3040,1064
2011,Moonee Valley,3041,503
2011,Moonee Valley,3042,805
2011,Moorabool,3334,14
2011,Moorabool,3340,821
2011,Moorabool,3341,36
2011,Moorabool,3342,105
2011,Moorabool,3345,26
2011,Moorabool,3352,77
2011,Moorabool,3357,2
2011,Moorabool,3458,11
2011,Moorabool,3461,2
2011,Moreland,3043,45
2011,Moreland,3044,988
2011,Moreland,3046,1790
2011,Moreland,3055,597
2011,Moreland,3056,1938
2011,Moreland,3057,501
2011,Moreland,3058,2321
2011,Moreland,3060,696
2011,Moreland,3068,19
2011,Mornington Peninsula,3911,108
2011,Mornington Peninsula,3912,412
2011,Mornington Peninsula,3913,137
2011,Mornington Peninsula,3915,872
2011,Mornington Peninsula,3916,23
2011,Mornington Peninsula,3918,70
2011,Mornington Peninsula,3919,149
2011,Mornington Peninsula,3920,13
2011,Mornington Peninsula,3926,85
2011,Mornington Peninsula,3927,39
2011,Mornington Peninsula,3928,2
2011,Mornington Peninsula,3929,63
2011,Mornington Peninsula,3930,362
2011,Mornington Peninsula,3931,1522
2011,Mornington Peninsula,3933,46
2011,Mornington Peninsula,3934,399
2011,Mornington Peninsula,3936,378
2011,Mornington Peninsula,3937,29
2011,Mornington Peninsula,3938,89
2011,Mornington Peninsula,3939,922
2011,Mornington Peninsula,3940,282
2011,Mornington Peninsula,3941,606
2011,Mornington Peninsula,3942,73
2011,Mornington Peninsula,3943,183
2011,Mornington Peninsula,3944,123
2011,Mount Alexander,3364,7
2011,Mount Alexander,3444,11
2011,Mount Alexander,3447,12
2011,Mount Alexander,3448,14
2011,Mount Alexander,3450,459
2011,Mount Alexander,3451,93
2011,Mount Alexander,3453,28
2011,Mount Alexander,3461,4
2011,Mount Alexander,3462,32
2011,Mount Alexander,3463,65
2011,Mount Alexander,3465,1
2011,Moyne,3265,33
2011,Moyne,3268,6
2011,Moyne,3270,17
2011,Moyne,3271,5
2011,Moyne,3272,55
2011,Moyne,3273,5
2011,Moyne,3274,6
2011,Moyne,3275,10
2011,Moyne,3276,2
2011,Moyne,3277,12
2011,Moyne,3278,1
2011,Moyne,3279,4
2011,Moyne,3280,1
2011,Moyne,3281,7
2011,Moyne,3282,66
2011,Moyne,3283,22
2011,Moyne,3284,158
2011,Moyne,3285,6
2011,Moyne,3286,9
2011,Moyne,3287,9
2011,Moyne,3301,2
2011,Moyne,3304,5
2011,Murrindindi,3658,21
2011,Murrindindi,3660,3
2011,Murrindindi,3711,10
2011,Murrindindi,3712,8
2011,Murrindindi,3713,67
2011,Murrindindi,3714,111
2011,Murrindindi,3717,92
2011,Murrindindi,3718,9
2011,Murrindindi,3719,2
2011,Murrindindi,3757,20
2011,Murrindindi,3763,45
2011,Murrindindi,3777,17
2011,Murrindindi,3778,10
2011,Murrindindi,3779,13
2011,Nillumbik,3088,106
2011,Nillumbik,3089,306
2011,Nillumbik,3090,74
2011,Nillumbik,3091,27
2011,Nillumbik,3095,673
2011,Nillumbik,3096,32
2011,Nillumbik,3097,35
2011,Nillumbik,3099,129
2011,Nillumbik,3113,22
2011,Nillumbik,3754,11
2011,Nillumbik,3759,17
2011,Nillumbik,3760,1
2011,Nillumbik,3761,13
2011,Nillumbik,3763,2
2011,Nillumbik,3775,10
2011,Northern Grampians,3374,18
2011,Northern Grampians,3380,552
2011,Northern Grampians,3381,23
2011,Northern Grampians,3384,3
2011,Northern Grampians,3385,17
2011,Northern Grampians,3387,13
2011,Northern Grampians,3401,2
2011,Northern Grampians,3475,2
2011,Northern Grampians,3477,20
2011,Northern Grampians,3478,135
2011,Northern Grampians,3480,2
2011,Port Phillip,3004,294
2011,Port Phillip,3006,87
2011,Port Phillip,3181,24
2011,Port Phillip,3182,3587
2011,Port Phillip,3183,633
2011,Port Phillip,3184,621
2011,Port Phillip,3185,74
2011,Port Phillip,3205,1417
2011,Port Phillip,3206,561
2011,Port Phillip,3207,956
2011,Pyrenees,3351,38
2011,Pyrenees,3352,27
2011,Pyrenees,3360,1
2011,Pyrenees,3361,2
2011,Pyrenees,3371,8
2011,Pyrenees,3373,74
2011,Pyrenees,3377,1
2011,Pyrenees,3384,10
2011,Pyrenees,3465,1
2011,Pyrenees,3467,28
2011,Pyrenees,3468,5
2011,Pyrenees,3469,2
2011,Pyrenees,3477,6
2011,Pyrenees,3478,6
2011,Queenscliffe,3225,92
2011,South Gippsland,3871,77
2011,South Gippsland,3945,13
2011,South Gippsland,3946,6
2011,South Gippsland,3950,172
2011,South Gippsland,3951,4
2011,South Gippsland,3953,294
2011,South Gippsland,3954,6
2011,South Gippsland,3956,84
2011,South Gippsland,3957,5
2011,South Gippsland,3958,2
2011,South Gippsland,3959,20
2011,South Gippsland,3960,74
2011,South Gippsland,3962,27
2011,South Gippsland,3964,4
2011,South Gippsland,3965,9
2011,South Gippsland,3966,6
2011,South Gippsland,3967,2
2011,South Gippsland,3987,33
2011,South Gippsland,3988,19
2011,Southern Grampians,3289,11
2011,Southern Grampians,3293,7
2011,Southern Grampians,3294,11
2011,Southern Grampians,3300,745
2011,Southern Grampians,3301,12
2011,Southern Grampians,3302,6
2011,Southern Grampians,3314,11
2011,Southern Grampians,3315,50
2011,Southern Grampians,3317,2
2011,Southern Grampians,3407,4
2011,Stonnington,3141,1392
2011,Stonnington,3142,602
2011,Stonnington,3143,373
2011,Stonnington,3144,604
2011,Stonnington,3145,1372
2011,Stonnington,3146,281
2011,Stonnington,3181,2182
2011,Strathbogie,3607,6
2011,Strathbogie,3608,119
2011,Strathbogie,3610,1
2011,Strathbogie,3612,2
2011,Strathbogie,3631,4
2011,Strathbogie,3663,7
2011,Strathbogie,3664,20
2011,Strathbogie,3665,11
2011,Strathbogie,3666,135
2011,Strathbogie,3669,40
2011,Strathbogie,3670,2
2011,Surf Coast,3217,16
2011,Surf Coast,3221,10
2011,Surf Coast,3227,4
2011,Surf Coast,3228,507
2011,Surf Coast,3230,112
2011,Surf Coast,3231,40
2011,Surf Coast,3232,144
2011,Surf Coast,3235,7
2011,Surf Coast,3240,55
2011,Surf Coast,3241,103
2011,Surf Coast,3321,1
2011,Swan Hill,3544,2
2011,Swan Hill,3546,27
2011,Swan Hill,3549,281
2011,Swan Hill,3583,2
2011,Swan Hill,3584,22
2011,Swan Hill,3585,928
2011,Swan Hill,3586,14
2011,Swan Hill,3588,9
2011,Swan Hill,3589,3
2011,Swan Hill,3590,6
2011,Swan Hill,3594,3
2011,Swan Hill,3595,17
2011,Swan Hill,3596,2
2011,Swan Hill,3597,14
2011,Swan Hill,3599,3
2011,Towong,3691,22
2011,Towong,3700,28
2011,Towong,3701,29
2011,Towong,3705,3
2011,Towong,3707,73
2011,Towong,3708,1
2011,Towong,3709,5
2011,Wangaratta,3675,64
2011,Wangaratta,3677,1504
2011,Wangaratta,3678,81
2011,Wangaratta,3682,11
2011,Wangaratta,3685,1
2011,Wangaratta,3723,1
2011,Wangaratta,3732,12
2011,Wangaratta,3733,2
2011,Wangaratta,3735,5
2011,Wangaratta,3746,9
2011,Warrnambool,3277,19
2011,Warrnambool,3280,1805
2011,Warrnambool,3281,2
2011,Warrnambool,3283,1
2011,Wellington,3844,11
2011,Wellington,3847,125
2011,Wellington,3850,1281
2011,Wellington,3851,195
2011,Wellington,3854,3
2011,Wellington,3857,8
2011,Wellington,3858,137
2011,Wellington,3859,17
2011,Wellington,3860,285
2011,Wellington,3862,81
2011,Wellington,3873,6
2011,Wellington,3874,17
2011,Wellington,3966,3
2011,Wellington,3971,140
2011,West Wimmera,3312,3
2011,West Wimmera,3318,42
2011,West Wimmera,3319,6
2011,West Wimmera,3401,3
2011,West Wimmera,3409,2
2011,West Wimmera,3412,7
2011,West Wimmera,3413,2
2011,West Wimmera,3415,3
2011,West Wimmera,3418,2
2011,West Wimmera,3419,22
2011,West Wimmera,3420,8
2011,Whitehorse,3125,408
2011,Whitehorse,3127,273
2011,Whitehorse,3128,1376
2011,Whitehorse,3129,321
2011,Whitehorse,3130,845
2011,Whitehorse,3131,794
2011,Whitehorse,3132,496
2011,Whitehorse,3133,406
2011,Whitehorse,3151,293
2011,Whittlesea,3064,8
2011,Whittlesea,3074,1593
2011,Whittlesea,3075,1118
2011,Whittlesea,3076,2177
2011,Whittlesea,3082,1361
2011,Whittlesea,3083,577
2011,Whittlesea,3750,185
2011,Whittlesea,3751,14
2011,Whittlesea,3752,744
2011,Whittlesea,3753,5
2011,Whittlesea,3754,762
2011,Whittlesea,3755,4
2011,Whittlesea,3757,210
2011,Wodonga,3690,2320
2011,Wodonga,3691,58
2011,Wodonga,3694,5
2011,Wyndham,3024,963
2011,Wyndham,3026,351
2011,Wyndham,3027,142
2011,Wyndham,3028,27
2011,Wyndham,3029,4190
2011,Wyndham,3030,3921
2011,Wyndham,3211,45
2011,Yarra,3054,483
2011,Yarra,3065,1827
2011,Yarra,3066,1164
2011,Yarra,3067,718
2011,Yarra,3068,1136
2011,Yarra,3078,133
2011,Yarra,3121,3257
2011,Yarra Ranges,3115,4
2011,Yarra Ranges,3116,490
2011,Yarra Ranges,3137,284
2011,Yarra Ranges,3138,750
2011,Yarra Ranges,3139,261
2011,Yarra Ranges,3140,901
2011,Yarra Ranges,3156,30
2011,Yarra Ranges,3158,203
2011,Yarra Ranges,3159,41
2011,Yarra Ranges,3160,341
2011,Yarra Ranges,3723,1
2011,Yarra Ranges,3765,158
2011,Yarra Ranges,3766,20
2011,Yarra Ranges,3767,23
2011,Yarra Ranges,3770,70
2011,Yarra Ranges,3775,75
2011,Yarra Ranges,3777,301
2011,Yarra Ranges,3779,3
2011,Yarra Ranges,3782,18
2011,Yarra Ranges,3785,10
2011,Yarra Ranges,3786,26
2011,Yarra Ranges,3787,16
2011,Yarra Ranges,3788,36
2011,Yarra Ranges,3789,5
2011,Yarra Ranges,3791,36
2011,Yarra Ranges,3792,14
2011,Yarra Ranges,3793,111
2011,Yarra Ranges,3795,28
2011,Yarra Ranges,3796,238
2011,Yarra Ranges,3797,101
2011,Yarra Ranges,3799,173
2011,Yarra Ranges,3804,14
2011,Yarriambiack,3388,22
2011,Yarriambiack,3390,54
2011,Yarriambiack,3391,6
2011,Yarriambiack,3392,17
2011,Yarriambiack,3393,121
2011,Yarriambiack,3395,24
2011,Yarriambiack,3396,20
2011,Yarriambiack,3401,2
2011,Yarriambiack,3424,1
2011,Yarriambiack,3485,8
2011,Yarriambiack,3487,3
2011,Yarriambiack,3488,1
2011,Yarriambiack,3489,3
2011,Yarriambiack,3491,3
2012,Alpine,3691,4
2012,Alpine,3697,9
2012,Alpine,3698,8
2012,Alpine,3699,17
2012,Alpine,3737,167
2012,Alpine,3738,6
2012,Alpine,3739,4
2012,Alpine,3740,17
2012,Alpine,3741,77
2012,Alpine,3744,7
2012,Alpine,3898,2
2012,Ararat,3351,24
2012,Ararat,3374,1
2012,Ararat,3375,5
2012,Ararat,3377,871
2012,Ararat,3378,4
2012,Ararat,3379,15
2012,Ararat,3381,4
2012,Ararat,3469,10
2012,Ballarat,3350,5168
2012,Ballarat,3351,6
2012,Ballarat,3352,221
2012,Ballarat,3355,1329
2012,Ballarat,3356,1331
2012,Ballarat,3357,110
2012,Ballarat,3363,5
2012,Ballarat,3364,9
2012,Banyule,3079,552
2012,Banyule,3081,1150
2012,Banyule,3083,340
2012,Banyule,3084,1549
2012,Banyule,3085,367
2012,Banyule,3087,420
2012,Banyule,3088,1066
2012,Banyule,3093,114
2012,Banyule,3094,230
2012,Banyule,3095,27
2012,Bass Coast,3922,455
2012,Bass Coast,3923,11
2012,Bass Coast,3925,134
2012,Bass Coast,3945,10
2012,Bass Coast,3979,7
2012,Bass Coast,3984,140
2012,Bass Coast,3990,12
2012,Bass Coast,3991,30
2012,Bass Coast,3992,18
2012,Bass Coast,3995,765
2012,Bass Coast,3996,266
2012,Baw Baw,3816,97
2012,Baw Baw,3818,597
2012,Baw Baw,3820,903
2012,Baw Baw,3821,51
2012,Baw Baw,3822,22
2012,Baw Baw,3823,64
2012,Baw Baw,3824,201
2012,Baw Baw,3825,85
2012,Baw Baw,3831,44
2012,Baw Baw,3832,4
2012,Baw Baw,3833,33
2012,Baw Baw,3835,29
2012,Baw Baw,3871,2
2012,Baw Baw,3953,1
2012,Bayside,3186,987
2012,Bayside,3187,419
2012,Bayside,3188,784
2012,Bayside,3190,324
2012,Bayside,3191,392
2012,Bayside,3192,131
2012,Bayside,3193,467
2012,Benalla,3669,3
2012,Benalla,3670,17
2012,Benalla,3672,663
2012,Benalla,3673,24
2012,Benalla,3675,4
2012,Benalla,3725,9
2012,Benalla,3726,8
2012,Boroondara,3101,928
2012,Boroondara,3102,202
2012,Boroondara,3103,413
2012,Boroondara,3104,466
2012,Boroondara,3122,1364
2012,Boroondara,3123,449
2012,Boroondara,3124,957
